id;x;y;infected
1;4.856575;43.377753;1
2;4.856674;43.377786;0
3;4.85679;43.377759;1
6;4.857061;43.377758;0
8;4.857402;43.377804;1
9;4.857441;43.377817;1
10;4.85747;43.377877;1
11;4.857634;43.377764;0
13;4.857554;43.377885;1
16;4.857614;43.377942;1
17;4.857701;43.37802;0
18;4.857659;43.378099;1
19;4.857828;43.378019;1
20;4.857848;43.378023;0
21;4.85796;43.377763;1
22;4.858023;43.377859;0
24;4.857955;43.377915;1
26;4.857736;43.378083;1
27;4.857932;43.377986;1
29;4.85814;43.378014;1
30;4.858244;43.378053;0
