id;x;y;infected
3;4.856813;43.377754;1
4;4.856983;43.377829;1
5;4.857075;43.37795;0
6;4.856958;43.377672;1
7;4.857099;43.377767;1
8;4.857191;43.377872;0
9;4.857246;43.377932;0
11;4.857342;43.377804;1
12;4.857318;43.377753;1
13;4.857408;43.377802;1
15;4.857531;43.377689;0
16;4.85763;43.37784;1
17;4.857498;43.377982;0
18;4.857642;43.377956;0
19;4.857757;43.377968;0
20;4.857653;43.378114;0
21;4.857733;43.378123;0
22;4.85781;43.378196;1
23;4.85798;43.378232;1
24;4.858321;43.37812;0
25;4.857936;43.377878;1
26;4.857918;43.377941;1
27;4.858032;43.378013;0
28;4.857886;43.37802;0
29;4.857847;43.377734;0
30;4.858268;43.377996;0
